time,sea_level_m,temperature_C,dissolved_o2,salinity_psu,current_u,current_v,current_speed_m_s,ph,turbidity_kd
2021-05-04,0.3338167,19.374306,281.69223,18.354555,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-05,0.3337762,19.374306,281.69223,18.360641,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-06,0.3339665,19.374306,281.69223,18.35468,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-07,0.33508033,19.374306,281.69223,18.345768,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-08,0.33614945,19.374306,281.69223,18.353537,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-09,0.3400099,19.374306,281.69223,18.354612,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-10,0.33985952,19.374306,281.69223,18.35171,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-11,0.3390659,19.374306,281.69223,18.352901,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-12,0.33929643,19.374306,281.69223,18.352453,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-13,0.33954263,19.374306,281.69223,18.33923,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-14,0.3404531,19.374306,281.69223,18.331953,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-15,0.34159622,19.374306,281.69223,18.319656,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-16,0.34354725,19.374306,281.69223,18.314957,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-17,0.34661472,19.374306,281.69223,18.312637,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-18,0.34881866,19.374306,281.69223,18.312696,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-19,0.35275507,19.374306,281.69223,18.324965,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-20,0.35511965,19.374306,281.69223,18.324392,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-21,0.3559689,19.374306,281.69223,18.332043,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-22,0.35769093,19.374306,281.69223,18.32973,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-23,0.36188138,19.374306,281.69223,18.316965,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-24,0.36489436,19.374306,281.69223,18.318457,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-25,0.3652633,19.374306,281.69223,18.326956,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-26,0.3660633,19.374306,281.69223,18.322165,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-27,0.36624324,19.374306,281.69223,18.324076,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-28,0.3668846,19.374306,281.69223,18.32216,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-29,0.36923066,19.374306,281.69223,18.317068,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-30,0.37241334,19.374306,281.69223,18.31253,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-31,0.37415165,19.374306,281.69223,18.30324,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-01,0.3781088,19.374306,281.69223,18.300255,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-02,0.38179803,19.374306,281.69223,18.29461,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-03,0.38403407,19.374306,281.69223,18.29869,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-04,0.38658443,19.374306,281.69223,18.315409,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-05,0.38780323,19.374306,281.69223,18.31252,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-06,0.38975242,19.374306,281.69223,18.302336,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-07,0.3919751,19.374306,281.69223,18.297028,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-08,0.3936385,19.374306,281.69223,18.281607,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-09,0.39538267,19.374306,281.69223,18.277493,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
