time,salinity_psu
2021-10-25,18.440388
2021-10-26,18.443892
2021-10-27,18.43879
2021-10-28,18.427387
2021-10-29,18.426325
2021-10-30,18.430748
2021-10-31,18.429111
2021-11-01,18.433708
2021-11-02,18.428694
2021-11-03,18.427128
2021-11-04,18.42377
2021-11-05,18.42099
2021-11-06,18.419325
2021-11-07,18.42948
2021-11-08,18.424873
2021-11-09,18.42977
2021-11-10,18.446087
2021-11-11,18.4598
2021-11-12,18.456
2021-11-13,18.442747
2021-11-14,18.44057
2021-11-15,18.43887
2021-11-16,18.452703
2021-11-17,18.46121
2021-11-18,18.456877
2021-11-19,18.461046
2021-11-20,18.456272
2021-11-21,18.462301
2021-11-22,18.456827
2021-11-23,18.453957
2021-11-24,18.46246
2021-11-25,18.456568
2021-11-26,18.452768
2021-11-27,18.45344
2021-11-28,18.444935
2021-11-29,18.454872
2021-11-30,18.46187
2021-12-01,18.475554
2021-12-02,18.47671
2021-12-03,18.466028
2021-12-04,18.459417
2021-12-05,18.45549
2021-12-06,18.452772
2021-12-07,18.449121
2021-12-08,18.443892
2021-12-09,18.445974
2021-12-10,18.4466
2021-12-11,18.452806
2021-12-12,18.453676
2021-12-13,18.44415
2021-12-14,18.44487
2021-12-15,18.439276
2021-12-16,18.442125
2021-12-17,18.439795
2021-12-18,18.441654
2021-12-19,18.442974
2021-12-20,18.442726
2021-12-21,18.445093
2021-12-22,18.449669
2021-12-23,18.4469
2021-12-24,18.447405
2021-12-25,18.457333
2021-12-26,18.455765
2021-12-27,18.454084
2021-12-28,18.449331
2021-12-29,18.450415
2021-12-30,18.449701
2021-12-31,18.44824
2022-01-01,18.440245
2022-01-02,18.435007
2022-01-03,18.437271
2022-01-04,18.433685
2022-01-05,18.431412
2022-01-06,18.42436
2022-01-07,18.422598
2022-01-08,18.4251
2022-01-09,18.42258
2022-01-10,18.427998
2022-01-11,18.433176
2022-01-12,18.45363
2022-01-13,18.457514
2022-01-14,18.46703
2022-01-15,18.479473
2022-01-16,18.480276
2022-01-17,18.475668
2022-01-18,18.488695
2022-01-19,18.494001
2022-01-20,18.491144
2022-01-21,18.488523
2022-01-22,18.489027
2022-01-23,18.48816
2022-01-24,18.504604
2022-01-25,18.499132
2022-01-26,18.492537
2022-01-27,18.49068
2022-01-28,18.484089
2022-01-29,18.484455
2022-01-30,18.477194
2022-01-31,18.473036
2022-02-01,18.469612
2022-02-02,18.462132
2022-02-03,18.466967
2022-02-04,18.475567
2022-02-05,18.480669
2022-02-06,18.482658
2022-02-07,18.489946
2022-02-08,18.492624
2022-02-09,18.503212
2022-02-10,18.497416
2022-02-11,18.498873
2022-02-12,18.496262
2022-02-13,18.511873
2022-02-14,18.50774
2022-02-15,18.505209
2022-02-16,18.496479
2022-02-17,18.491253
2022-02-18,18.492638
2022-02-19,18.494947
2022-02-20,18.48783
2022-02-21,18.483864
2022-02-22,18.479464
2022-02-23,18.471487
2022-02-24,18.471188
2022-02-25,18.480042
2022-02-26,18.482885
2022-02-27,18.487188
2022-02-28,18.487986
2022-03-01,18.487823
2022-03-02,18.478106
2022-03-03,18.481964
2022-03-04,18.481195
2022-03-05,18.482527
2022-03-06,18.48239
2022-03-07,18.479277
2022-03-08,18.472248
2022-03-09,18.46657
2022-03-10,18.471943
2022-03-11,18.481369
2022-03-12,18.482204
2022-03-13,18.493067
2022-03-14,18.486813
2022-03-15,18.476372
2022-03-16,18.473827
2022-03-17,18.488506
2022-03-18,18.4929
2022-03-19,18.505972
2022-03-20,18.518892
2022-03-21,18.519075
2022-03-22,18.516558
2022-03-23,18.521223
2022-03-24,18.507765
2022-03-25,18.512798
2022-03-26,18.505245
2022-03-27,18.502645
2022-03-28,18.49682
2022-03-29,18.484093
2022-03-30,18.473467
2022-03-31,18.468033
2022-04-01,18.471195
2022-04-02,18.477169
2022-04-03,18.464197
2022-04-04,18.462376
2022-04-05,18.44337
2022-04-06,18.45453
2022-04-07,18.44733
2022-04-08,18.447708
2022-04-09,18.441092
2022-04-10,18.444061
2022-04-11,18.451197
2022-04-12,18.477488
2022-04-13,18.467384
2022-04-14,18.460058
2022-04-15,18.441444
2022-04-16,18.439692
2022-04-17,18.439266
2022-04-18,18.463457
2022-04-19,18.458935
2022-04-20,18.457436
2022-04-21,18.447784
2022-04-22,18.45811
2022-04-23,18.45454
2022-04-24,18.439144
2022-04-25,18.422537
2022-04-26,18.415802
2022-04-27,18.40857
2022-04-28,18.402763
2022-04-29,18.396654
2022-04-30,18.407454
2022-05-01,18.402433
2022-05-02,18.406784
2022-05-03,18.403044
2022-05-04,18.38234
2022-05-05,18.385084
2022-05-06,18.418299
2022-05-07,18.419092
2022-05-08,18.423605
2022-05-09,18.406626
2022-05-10,18.403425
2022-05-11,18.389034
2022-05-12,18.37468
2022-05-13,18.366934
2022-05-14,18.357483
2022-05-15,18.353897
2022-05-16,18.358849
2022-05-17,18.347616
2022-05-18,18.382511
2022-05-19,18.417753
2022-05-20,18.41589
2022-05-21,18.40249
2022-05-22,18.402082
2022-05-23,18.398191
2022-05-24,18.384249
2022-05-25,18.36897
2022-05-26,18.364609
2022-05-27,18.357775
2022-05-28,18.345295
2022-05-29,18.335102
2022-05-30,18.34891
2022-05-31,18.33775
2022-06-01,18.34121
2022-06-02,18.331373
2022-06-03,18.32577
2022-06-04,18.3457
2022-06-05,18.356457
2022-06-06,18.364132
2022-06-07,18.387053
2022-06-08,18.38538
2022-06-09,18.368156
2022-06-10,18.36115
2022-06-11,18.35961
2022-06-12,18.367311
2022-06-13,18.395426
2022-06-14,18.393948
2022-06-15,18.403685
2022-06-16,18.39813
2022-06-17,18.386791
2022-06-18,18.389784
2022-06-19,18.399313
2022-06-20,18.394024
2022-06-21,18.375618
2022-06-22,18.397493
2022-06-23,18.400045
2022-06-24,18.399847
2022-06-25,18.396826
2022-06-26,18.386362
2022-06-27,18.379356
2022-06-28,18.37808
2022-06-29,18.375393
2022-06-30,18.366348
2022-07-01,18.359324
2022-07-02,18.363173
2022-07-03,18.375061
2022-07-04,18.363834
2022-07-05,18.352175
2022-07-06,18.348673
2022-07-07,18.360605
2022-07-08,18.377975
2022-07-09,18.39119
2022-07-10,18.390514
2022-07-11,18.386784
2022-07-12,18.388384
2022-07-13,18.383577
2022-07-14,18.382261
2022-07-15,18.374018
2022-07-16,18.372692
2022-07-17,18.37876
2022-07-18,18.399744
2022-07-19,18.421339
2022-07-20,18.42572
2022-07-21,18.431704
2022-07-22,18.433859
2022-07-23,18.439095
2022-07-24,18.43591
2022-07-25,18.432732
2022-07-26,18.431736
2022-07-27,18.428015
2022-07-28,18.425028
2022-07-29,18.426039
2022-07-30,18.431196
2022-07-31,18.420858
2022-08-01,18.415318
2022-08-02,18.409393
2022-08-03,18.413586
2022-08-04,18.41329
2022-08-05,18.408735
2022-08-06,18.409912
2022-08-07,18.422379
2022-08-08,18.444231
2022-08-09,18.458666
2022-08-10,18.469137
2022-08-11,18.479767
2022-08-12,18.476967
2022-08-13,18.472685
2022-08-14,18.468363
2022-08-15,18.45784
2022-08-16,18.45227
2022-08-17,18.442097
2022-08-18,18.449917
2022-08-19,18.457113
2022-08-20,18.456322
2022-08-21,18.459839
2022-08-22,18.444248
2022-08-23,18.44552
2022-08-24,18.461042
2022-08-25,18.477945
2022-08-26,18.49481
2022-08-27,18.494272
2022-08-28,18.498306
2022-08-29,18.492273
2022-08-30,18.490286
2022-08-31,18.495651
2022-09-01,18.512753
2022-09-02,18.528158
2022-09-03,18.544573
2022-09-04,18.547102
2022-09-05,18.5683
2022-09-06,18.574978
2022-09-07,18.580545
2022-09-08,18.576517
2022-09-09,18.571629
2022-09-10,18.57313
2022-09-11,18.556938
2022-09-12,18.559986
2022-09-13,18.555698
2022-09-14,18.554731
2022-09-15,18.548153
2022-09-16,18.540615
2022-09-17,18.534857
2022-09-18,18.538784
2022-09-19,18.556572
2022-09-20,18.557608
2022-09-21,18.570398
2022-09-22,18.567684
2022-09-23,18.571657
2022-09-24,18.569563
2022-09-25,18.565624
2022-09-26,18.562838
2022-09-27,18.561012
2022-09-28,18.5527
2022-09-29,18.54838
2022-09-30,18.542772
2022-10-01,18.539997
2022-10-02,18.544996
2022-10-03,18.553076
2022-10-04,18.549675
2022-10-05,18.55323
2022-10-06,18.55395
2022-10-07,18.55834
2022-10-08,18.564198
2022-10-09,18.565071
2022-10-10,18.569656
2022-10-11,18.569418
2022-10-12,18.57047
2022-10-13,18.556412
2022-10-14,18.562035
2022-10-15,18.57171
2022-10-16,18.575321
2022-10-17,18.588129
2022-10-18,18.590277
2022-10-19,18.58218
2022-10-20,18.585464
2022-10-21,18.582827
2022-10-22,18.581326
2022-10-23,18.566622
2022-10-24,18.563372
2022-10-25,18.562424
2022-10-26,18.562206
2022-10-27,18.57267
2022-10-28,18.57265
2022-10-29,18.57601
2022-10-30,18.572817
2022-10-31,18.567091
2022-11-01,18.57087
2022-11-02,18.560114
2022-11-03,18.560614
2022-11-04,18.560905
2022-11-05,18.563133
2022-11-06,18.576035
2022-11-07,18.581226
2022-11-08,18.574894
2022-11-09,18.573675
2022-11-10,18.571293
2022-11-11,18.567879
2022-11-12,18.56912
2022-11-13,18.567993
2022-11-14,18.56926
2022-11-15,18.570137
2022-11-16,18.56282
2022-11-17,18.558552
2022-11-18,18.553654
2022-11-19,18.553402
2022-11-20,18.564678
2022-11-21,18.561428
2022-11-22,18.564075
2022-11-23,18.565596
2022-11-24,18.560314
2022-11-25,18.558205
2022-11-26,18.568262
2022-11-27,18.568485
2022-11-28,18.566154
2022-11-29,18.569536
2022-11-30,18.571865
2022-12-01,18.57333
2022-12-02,18.572836
2022-12-03,18.571976
2022-12-04,18.581303
2022-12-05,18.584805
2022-12-06,18.585749
2022-12-07,18.581104
2022-12-08,18.564342
2022-12-09,18.558517
2022-12-10,18.556807
2022-12-11,18.561289
2022-12-12,18.566286
2022-12-13,18.566845
2022-12-14,18.57717
2022-12-15,18.573454
2022-12-16,18.571918
2022-12-17,18.5672
