time,dissolved_o2,primary_production
2023-03-03,323.7134,14.7765665
2023-03-04,324.66318,14.129431
2023-03-05,325.2953,13.10925
2023-03-06,325.24976,11.963454
2023-03-07,325.6629,12.210455
2023-03-08,326.20996,12.102811
2023-03-09,326.59167,12.571502
2023-03-10,326.5745,11.121359
2023-03-11,326.0512,11.258882
2023-03-12,325.4554,11.633951
2023-03-13,325.13803,11.710359
2023-03-14,325.4034,11.118608
2023-03-15,325.89117,11.46769
2023-03-16,326.16858,11.13091
2023-03-17,325.80984,11.930593
2023-03-18,325.69937,11.801091
2023-03-19,325.70944,12.319574
2023-03-20,325.71008,12.41785
2023-03-21,325.9998,12.753245
2023-03-22,326.45486,14.92645
2023-03-23,326.8636,14.712204
2023-03-24,327.16617,14.003833
2023-03-25,327.07474,14.564726
2023-03-26,326.74146,14.475521
2023-03-27,326.39612,15.52138
2023-03-28,325.2191,15.386184
2023-03-29,324.13037,14.101997
2023-03-30,323.9787,14.203808
2023-03-31,324.26633,14.191655
2023-04-01,324.51392,13.863256
2023-04-02,324.39886,14.125968
2023-04-03,324.42447,14.431191
2023-04-04,324.32172,15.461326
2023-04-05,323.9809,15.886992
2023-04-06,323.55435,14.364221
2023-04-07,323.80182,14.4558935
2023-04-08,323.91656,13.251598
2023-04-09,323.96655,13.082634
2023-04-10,323.7886,13.319012
2023-04-11,322.58542,13.497762
2023-04-12,322.12134,12.6567545
2023-04-13,322.0795,12.745029
2023-04-14,321.84177,13.552871
2023-04-15,321.40198,14.533817
2023-04-16,320.76346,14.980723
2023-04-17,319.79034,13.012121
2023-04-18,319.0565,12.815021
2023-04-19,318.41248,13.600193
2023-04-20,317.76822,13.585411
2023-04-21,317.1072,13.729639
2023-04-22,316.59302,12.5633
2023-04-23,316.20148,11.983953
2023-04-24,315.67905,12.587883
2023-04-25,315.07248,12.661864
2023-04-26,314.00592,12.072796
2023-04-27,313.0152,11.655508
2023-04-28,312.32382,12.188027
2023-04-29,311.3555,12.217037
2023-04-30,310.88675,13.401104
2023-05-01,310.7638,13.6563225
2023-05-02,310.4842,14.159579
2023-05-03,310.12888,13.624395
2023-05-04,309.495,11.184582
2023-05-05,308.5135,11.3672905
2023-05-06,307.75558,12.736713
2023-05-07,306.7173,12.887271
2023-05-08,305.83948,12.462849
2023-05-09,305.13843,11.79055
2023-05-10,304.65253,11.7253
2023-05-11,304.24194,12.330352
2023-05-12,303.8904,12.2973385
2023-05-13,303.1763,13.013056
2023-05-14,302.42047,12.42949
2023-05-15,301.5159,13.731103
2023-05-16,300.43958,13.949795
2023-05-17,299.63797,13.063011
2023-05-18,298.49567,11.488882
2023-05-19,296.73215,10.754235
2023-05-20,295.0192,10.979207
2023-05-21,293.53015,11.53948
2023-05-22,292.36874,11.858953
2023-05-23,290.89334,12.295869
2023-05-24,289.50916,14.316277
2023-05-25,288.1419,16.63225
2023-05-26,286.65356,16.581432
2023-05-27,285.18295,15.879465
2023-05-28,284.78326,13.182479
2023-05-29,283.19727,12.93401
2023-05-30,281.1911,13.578541
2023-05-31,279.91702,13.613763
2023-06-01,278.25595,15.332269
