time,ph
2023-06-25,8.127376
2023-06-26,8.128476
2023-06-27,8.129585
2023-06-28,8.127573
2023-06-29,8.133266
2023-06-30,8.139955
2023-07-01,8.137848
2023-07-02,8.138459
2023-07-03,8.133303
2023-07-04,8.128386
2023-07-05,8.125062
2023-07-06,8.121692
2023-07-07,8.124463
2023-07-08,8.135738
2023-07-09,8.149729
2023-07-10,8.15686
2023-07-11,8.157035
2023-07-12,8.154138
2023-07-13,8.148378
2023-07-14,8.145892
2023-07-15,8.146772
2023-07-16,8.143694
2023-07-17,8.140621
2023-07-18,8.139074
2023-07-19,8.137627
2023-07-20,8.139825
2023-07-21,8.1382475
2023-07-22,8.134657
2023-07-23,8.134878
2023-07-24,8.14052
2023-07-25,8.143981
2023-07-26,8.146992
2023-07-27,8.147933
2023-07-28,8.161676
2023-07-29,8.158831
2023-07-30,8.157513
2023-07-31,8.154473
2023-08-01,8.149633
2023-08-02,8.145191
2023-08-03,8.141168
2023-08-04,8.141473
2023-08-05,8.145998
2023-08-06,8.14243
2023-08-07,8.145089
2023-08-08,8.145527
2023-08-09,8.151657
2023-08-10,8.152161
2023-08-11,8.15465
2023-08-12,8.156418
2023-08-13,8.156156
2023-08-14,8.156601
2023-08-15,8.159118
2023-08-16,8.159931
2023-08-17,8.159662
2023-08-18,8.160017
2023-08-19,8.158745
2023-08-20,8.154642
2023-08-21,8.152394
2023-08-22,8.149162
2023-08-23,8.147781
2023-08-24,8.149436
2023-08-25,8.150537
2023-08-26,8.154713
2023-08-27,8.157385
2023-08-28,8.157237
2023-08-29,8.156759
2023-08-30,8.161016
2023-08-31,8.1543045
2023-09-01,8.157857
2023-09-02,8.162238
2023-09-03,8.166037
2023-09-04,8.170298
2023-09-05,8.173217
2023-09-06,8.17625
2023-09-07,8.178798
2023-09-08,8.184292
2023-09-09,8.18925
2023-09-10,8.196516
2023-09-11,8.199714
2023-09-12,8.199244
2023-09-13,8.199474
2023-09-14,8.2010355
2023-09-15,8.2014
2023-09-16,8.204169
2023-09-17,8.207332
2023-09-18,8.209816
2023-09-19,8.209321
2023-09-20,8.205861
2023-09-21,8.202582
2023-09-22,8.204073
2023-09-23,8.204336
2023-09-24,8.205165
2023-09-25,8.208832
2023-09-26,8.211347
2023-09-27,8.21261
2023-09-28,8.212017
2023-09-29,8.21161
2023-09-30,8.211371
2023-10-01,8.213645
2023-10-02,8.218208
2023-10-03,8.221498
2023-10-04,8.22263
2023-10-05,8.224507
2023-10-06,8.226074
2023-10-07,8.22821
2023-10-08,8.231154
2023-10-09,8.236403
2023-10-10,8.23867
2023-10-11,8.242407
2023-10-12,8.245555
2023-10-13,8.2443495
2023-10-14,8.244969
2023-10-15,8.245284
2023-10-16,8.250572
2023-10-17,8.252935
2023-10-18,8.255118
2023-10-19,8.257886
2023-10-20,8.259735
2023-10-21,8.25666
2023-10-22,8.254653
2023-10-23,8.25355
2023-10-24,8.253765
2023-10-25,8.2572155
2023-10-26,8.256929
2023-10-27,8.25637
2023-10-28,8.256785
2023-10-29,8.252224
2023-10-30,8.252838
2023-10-31,8.253809
2023-11-01,8.254788
2023-11-02,8.254862
2023-11-03,8.256193
2023-11-04,8.257201
2023-11-05,8.25737
2023-11-06,8.25669
2023-11-07,8.254802
2023-11-08,8.256788
2023-11-09,8.259564
2023-11-10,8.261078
2023-11-11,8.2630825
2023-11-12,8.264232
2023-11-13,8.263595
2023-11-14,8.265176
2023-11-15,8.264627
2023-11-16,8.266488
2023-11-17,8.269474
2023-11-18,8.271925
2023-11-19,8.272707
2023-11-20,8.274283
2023-11-21,8.273597
2023-11-22,8.2762575
2023-11-23,8.278571
2023-11-24,8.279378
2023-11-25,8.278391
2023-11-26,8.277706
2023-11-27,8.27309
2023-11-28,8.274441
2023-11-29,8.274731
2023-11-30,8.273929
2023-12-01,8.274189
2023-12-02,8.271139
2023-12-03,8.270545
2023-12-04,8.272505
2023-12-05,8.272936
2023-12-06,8.276307
2023-12-07,8.278089
2023-12-08,8.2788105
2023-12-09,8.279559
2023-12-10,8.276155
2023-12-11,8.273276
2023-12-12,8.272394
2023-12-13,8.2747135
2023-12-14,8.278125
2023-12-15,8.279061
2023-12-16,8.278952
2023-12-17,8.278679
2023-12-18,8.277614
2023-12-19,8.275848
2023-12-20,8.277189
2023-12-21,8.278455
2023-12-22,8.27963
2023-12-23,8.279803
2023-12-24,8.279022
2023-12-25,8.2780905
2023-12-26,8.27614
2023-12-27,8.275232
2023-12-28,8.276809
2023-12-29,8.276046
2023-12-30,8.2734165
2023-12-31,8.273819
2024-01-01,8.285166
2024-01-02,8.28598
2024-01-03,8.287184
2024-01-04,8.287769
2024-01-05,8.286448
2024-01-06,8.285886
2024-01-07,8.285353
2024-01-08,8.284949
2024-01-09,8.285082
2024-01-10,8.285349
2024-01-11,8.285442
2024-01-12,8.28539
2024-01-13,8.285246
2024-01-14,8.284927
2024-01-15,8.285111
2024-01-16,8.2855425
2024-01-17,8.285517
2024-01-18,8.2855015
2024-01-19,8.285739
2024-01-20,8.286061
2024-01-21,8.286248
2024-01-22,8.285883
2024-01-23,8.285303
2024-01-24,8.284757
2024-01-25,8.284289
2024-01-26,8.284114
2024-01-27,8.28414
2024-01-28,8.284099
2024-01-29,8.284041
2024-01-30,8.283891
2024-01-31,8.283764
2024-02-01,8.2836275
2024-02-02,8.283366
2024-02-03,8.28296
2024-02-04,8.282424
2024-02-05,8.281777
2024-02-06,8.281232
2024-02-07,8.281008
2024-02-08,8.281025
2024-02-09,8.280895
2024-02-10,8.280637
2024-02-11,8.280529
2024-02-12,8.280426
2024-02-13,8.28009
2024-02-14,8.279434
2024-02-15,8.278602
2024-02-16,8.278003
2024-02-17,8.277576
2024-02-18,8.277163
2024-02-19,8.276665
2024-02-20,8.275793
2024-02-21,8.2748
2024-02-22,8.273857
2024-02-23,8.273125
2024-02-24,8.27215
2024-02-25,8.271058
2024-02-26,8.269985
2024-02-27,8.2688055
2024-02-28,8.26771
2024-02-29,8.26676
2024-03-01,8.2659855
2024-03-02,8.265344
2024-03-03,8.264645
2024-03-04,8.263775
2024-03-05,8.262864
2024-03-06,8.262052
2024-03-07,8.261411
2024-03-08,8.260649
2024-03-09,8.259635
2024-03-10,8.258445
2024-03-11,8.257399
2024-03-12,8.256718
2024-03-13,8.256415
2024-03-14,8.256149
2024-03-15,8.255654
2024-03-16,8.254807
2024-03-17,8.253677
2024-03-18,8.252516
2024-03-19,8.2515745
2024-03-20,8.250714
2024-03-21,8.249661
2024-03-22,8.24845
2024-03-23,8.247283
2024-03-24,8.246319
2024-03-25,8.245577
2024-03-26,8.24478
2024-03-27,8.243903
2024-03-28,8.243175
2024-03-29,8.242586
2024-03-30,8.241879
2024-03-31,8.241113
2024-04-01,8.240415
2024-04-02,8.239792
2024-04-03,8.239016
2024-04-04,8.2379875
2024-04-05,8.236948
2024-04-06,8.23612
2024-04-07,8.235508
2024-04-08,8.235156
2024-04-09,8.234773
2024-04-10,8.234173
2024-04-11,8.233553
2024-04-12,8.233038
2024-04-13,8.23249
2024-04-14,8.231852
2024-04-15,8.231149
2024-04-16,8.230429
2024-04-17,8.22973
2024-04-18,8.229212
2024-04-19,8.228691
2024-04-20,8.228113
2024-04-21,8.227438
2024-04-22,8.226582
2024-04-23,8.225671
2024-04-24,8.224886
2024-04-25,8.22429
2024-04-26,8.223954
2024-04-27,8.223583
2024-04-28,8.223133
2024-04-29,8.222629
2024-04-30,8.222176
2024-05-01,8.221732
2024-05-02,8.221357
2024-05-03,8.22093
2024-05-04,8.220355
2024-05-05,8.2197895
2024-05-06,8.219287
2024-05-07,8.21873
2024-05-08,8.218109
2024-05-09,8.21756
2024-05-10,8.217002
2024-05-11,8.216443
2024-05-12,8.215904
2024-05-13,8.215177
2024-05-14,8.21446
2024-05-15,8.213961
2024-05-16,8.213549
2024-05-17,8.213289
2024-05-18,8.213116
2024-05-19,8.212825
2024-05-20,8.212388
2024-05-21,8.212034
2024-05-22,8.211848
2024-05-23,8.211721
2024-05-24,8.211584
2024-05-25,8.211292
2024-05-26,8.210813
2024-05-27,8.210176
2024-05-28,8.209439
2024-05-29,8.2086735
2024-05-30,8.208055
2024-05-31,8.209374
2024-06-01,8.210702
2024-06-02,8.211753
2024-06-03,8.212664
2024-06-04,8.2133255
2024-06-05,8.213888
2024-06-06,8.214381
2024-06-07,8.214752
2024-06-08,8.214985
2024-06-09,8.215122
2024-06-10,8.215292
2024-06-11,8.215554
2024-06-12,8.215818
2024-06-13,8.21595
2024-06-14,8.216018
2024-06-15,8.216129
2024-06-16,8.2162695
2024-06-17,8.216327
2024-06-18,8.216307
2024-06-19,8.216332
2024-06-20,8.21647
2024-06-21,8.216702
2024-06-22,8.217004
2024-06-23,8.21723
2024-06-24,8.21744
2024-06-25,8.217593
2024-06-26,8.217593
2024-06-27,8.217535
2024-06-28,8.217428
2024-06-29,8.217355
2024-06-30,8.217299
2024-07-01,8.217333
2024-07-02,8.217412
2024-07-03,8.2176485
2024-07-04,8.217839
2024-07-05,8.217925
2024-07-06,8.218048
2024-07-07,8.218219
2024-07-08,8.218397
2024-07-09,8.218637
2024-07-10,8.218869
2024-07-11,8.219039
2024-07-12,8.219142
2024-07-13,8.219294
2024-07-14,8.21945
2024-07-15,8.219643
2024-07-16,8.219805
2024-07-17,8.2198925
2024-07-18,8.219956
2024-07-19,8.220028
2024-07-20,8.219997
2024-07-21,8.219927
2024-07-22,8.219862
2024-07-23,8.21984
2024-07-24,8.219932
2024-07-25,8.220118
2024-07-26,8.22031
2024-07-27,8.220566
2024-07-28,8.22088
2024-07-29,8.221193
2024-07-30,8.221466
2024-07-31,8.221662
2024-08-01,8.221861
2024-08-02,8.222037
2024-08-03,8.222218
2024-08-04,8.222468
2024-08-05,8.222667
2024-08-06,8.222912
2024-08-07,8.223266
2024-08-08,8.223698
2024-08-09,8.224116
2024-08-10,8.224504
2024-08-11,8.224992
2024-08-12,8.22548
2024-08-13,8.225962
2024-08-14,8.226466
2024-08-15,8.2269535
2024-08-16,8.227458
2024-08-17,8.227848
2024-08-18,8.22809
2024-08-19,8.22832
2024-08-20,8.228702
2024-08-21,8.229163
2024-08-22,8.229665
2024-08-23,8.230129
2024-08-24,8.230478
2024-08-25,8.230707
2024-08-26,8.230967
2024-08-27,8.231229
2024-08-28,8.231447
2024-08-29,8.231647
2024-08-30,8.231878
2024-08-31,8.232163
2024-09-01,8.232471
2024-09-02,8.232816
2024-09-03,8.233236
2024-09-04,8.233743
2024-09-05,8.234204
2024-09-06,8.234666
2024-09-07,8.235185
2024-09-08,8.235661
2024-09-09,8.236117
2024-09-10,8.236623
2024-09-11,8.237187
2024-09-12,8.237674
2024-09-13,8.238137
2024-09-14,8.238585
2024-09-15,8.238983
2024-09-16,8.23941
2024-09-17,8.239879
2024-09-18,8.240394
2024-09-19,8.240957
2024-09-20,8.241605
2024-09-21,8.242251
