time,nitrate,phosphate
2022-11-20,1.0316598,0.19396716
2022-11-21,1.0352956,0.193002
2022-11-22,1.0453161,0.19464754
2022-11-23,1.0420698,0.19632532
2022-11-24,1.1158881,0.19540362
2022-11-25,1.0591948,0.19885929
2022-11-26,0.9633315,0.20819862
2022-11-27,1.0126028,0.21607836
2022-11-28,1.0214727,0.21656492
2022-11-29,0.9638652,0.21675229
2022-11-30,0.937619,0.21775906
2022-12-01,0.93629295,0.21918115
2022-12-02,0.95574,0.2200877
2022-12-03,0.9952575,0.22263552
2022-12-04,0.95673686,0.22573063
2022-12-05,0.966759,0.22956784
2022-12-06,1.0433773,0.23062396
2022-12-07,1.1964822,0.23077406
2022-12-08,1.5319204,0.2327863
2022-12-09,1.5920218,0.2325769
2022-12-10,1.4201982,0.23097365
2022-12-11,1.1352336,0.2289865
2022-12-12,1.2512895,0.23139895
2022-12-13,1.225415,0.23397824
2022-12-14,1.2063515,0.23607293
2022-12-15,1.1814038,0.23465098
2022-12-16,1.2465068,0.23417237
2022-12-17,1.2859706,0.23240903
2022-12-18,1.22373,0.23210008
2022-12-19,1.0990242,0.24109301
2022-12-20,1.2865673,0.25198814
2022-12-21,1.3913587,0.25266454
2022-12-22,1.5365275,0.2519824
2022-12-23,1.8242848,0.25348642
2022-12-24,2.0014124,0.25454092
2022-12-25,1.7972815,0.25309464
2022-12-26,1.494824,0.25359136
2022-12-27,1.5670455,0.2549625
2022-12-28,1.4283953,0.2567061
2022-12-29,1.574614,0.2575033
2022-12-30,1.7157671,0.25715113
2022-12-31,2.002864,0.25882924
2023-01-01,2.07345,0.2574175
2023-01-02,2.1839588,0.2566107
2023-01-03,2.108501,0.25398135
2023-01-04,2.0155275,0.25423324
2023-01-05,1.7664593,0.25192338
2023-01-06,1.6097001,0.25635174
2023-01-07,1.6510025,0.26036716
2023-01-08,1.5939082,0.25863048
2023-01-09,1.4473236,0.26108137
2023-01-10,1.3400474,0.2643335
2023-01-11,1.3107146,0.27028197
2023-01-12,1.3543006,0.2757103
2023-01-13,1.4322493,0.2782325
2023-01-14,1.5299011,0.2787111
2023-01-15,1.6618415,0.27840516
2023-01-16,1.6348659,0.27753145
2023-01-17,1.4859759,0.2763922
2023-01-18,1.4544165,0.27722567
2023-01-19,1.4714571,0.2772301
2023-01-20,1.5382493,0.27667254
2023-01-21,1.652811,0.27947345
2023-01-22,1.6406218,0.27820116
2023-01-23,1.5768253,0.27693915
2023-01-24,1.5905863,0.2764828
2023-01-25,1.5783466,0.2777066
2023-01-26,1.6054056,0.27894288
2023-01-27,1.5471191,0.28326496
2023-01-28,1.5110052,0.28592008
2023-01-29,1.4438362,0.2933451
2023-01-30,1.6514099,0.303002
2023-01-31,1.7901069,0.3058615
2023-02-01,1.8277531,0.30726442
